iso3,country,year,uk_import_qty_t,log_uk_import_qty_t,bii,bii_loss,bio_source
NZL,New Zealand,2013,34.0,3.5553480614894135,0.602401375770569,0.39759862422943104,historical
NZL,New Zealand,2015,3.49,1.501852701754163,0.605004549026489,0.39499545097351096,ssp2_projected
NZL,New Zealand,2016,29.44,3.415757532993485,0.605011880397797,0.39498811960220304,ssp2_projected
NZL,New Zealand,2017,57.88,4.075501474420621,0.605080366134644,0.394919633865356,ssp2_projected
NZL,New Zealand,2018,34.02,3.555919326857706,0.605168700218201,0.394831299781799,ssp2_projected
NZL,New Zealand,2019,19.16,3.0037004432031678,0.605256080627441,0.39474391937255904,ssp2_projected
NZL,New Zealand,2020,22.81,3.170105660498771,0.605258345603943,0.394741654396057,ssp2_projected
POL,Poland,2010,221.0,5.402677381872279,0.698171138763428,0.30182886123657204,historical
POL,Poland,2011,230.0,5.442417710521793,0.694046258926392,0.30595374107360795,historical
POL,Poland,2012,309.0,5.736572297479192,0.698515117168427,0.30148488283157304,historical
POL,Poland,2013,729.0,6.593044534142437,0.712088763713837,0.287911236286163,historical
POL,Poland,2014,487.8,6.191953407857386,0.721441924571991,0.27855807542800903,historical
POL,Poland,2015,310.4,5.741078259399898,0.72948694229126,0.27051305770874,ssp2_projected
POL,Poland,2016,443.63,6.097242475636933,0.729101777076721,0.27089822292327903,ssp2_projected
POL,Poland,2017,1497.69,7.312346672179233,0.729526042938232,0.270473957061768,ssp2_projected
POL,Poland,2018,1305.28,7.174938681956572,0.729776501655579,0.27022349834442105,ssp2_projected
POL,Poland,2019,1803.83,7.498221683506015,0.729861855506897,0.270138144493103,ssp2_projected
POL,Poland,2020,2016.06,7.609396284661005,0.72938996553421,0.27061003446579,ssp2_projected
PRT,Portugal,2014,0.21,0.19062035960864973,0.766941368579865,0.23305863142013505,historical
PRT,Portugal,2015,2.2,1.1631508098056809,0.769384682178497,0.23061531782150302,ssp2_projected
PRT,Portugal,2016,6.24,1.979621206397625,0.769136905670166,0.23086309432983398,ssp2_projected
PRT,Portugal,2017,14.42,2.7356653681351832,0.768706440925598,0.23129355907440197,ssp2_projected
PRT,Portugal,2018,10.61,2.4518667957098,0.768362283706665,0.23163771629333496,ssp2_projected
PRT,Portugal,2019,5.42,1.8594181177018698,0.767808437347412,0.232191562652588,ssp2_projected
PRT,Portugal,2020,8.53,2.254444717666111,0.767354130744934,0.23264586925506603,ssp2_projected
ROU,Romania,2010,108.0,4.6913478822291435,0.609481990337372,0.39051800966262795,historical
ROU,Romania,2011,235.0,5.4638318050256105,0.613204479217529,0.38679552078247104,historical
ROU,Romania,2012,781.0,6.661854740545311,0.618292689323425,0.38170731067657504,historical
ROU,Romania,2013,543.0,6.298949246855942,0.610755920410156,0.38924407958984397,historical
ROU,Romania,2014,245.4,5.506956231659364,0.610071003437042,0.389928996562958,historical
ROU,Romania,2015,239.3,5.481888142742423,0.611510634422302,0.388489365577698,ssp2_projected
ROU,Romania,2016,445.45,6.101327411963226,0.611513912677765,0.388486087322235,ssp2_projected
ROU,Romania,2017,442.79,6.095351477572255,0.611128747463226,0.388871252536774,ssp2_projected
ROU,Romania,2018,388.22,5.964144736453019,0.610781073570251,0.389218926429749,ssp2_projected
ROU,Romania,2019,360.79,5.891063932999336,0.610519647598267,0.38948035240173295,ssp2_projected
ROU,Romania,2020,1180.93,7.074903974554165,0.610033452510834,0.38996654748916604,ssp2_projected
SVK,Slovakia,2014,0.1,0.09531017980432487,0.678365647792816,0.32163435220718395,historical
SVK,Slovakia,2015,0.3,0.262364264467491,0.679579675197601,0.320420324802399,ssp2_projected
SVK,Slovakia,2016,0.29,0.2546422183735807,0.680148124694824,0.319851875305176,ssp2_projected
SVK,Slovakia,2017,1.15,0.7654678421395714,0.680610418319702,0.31938958168029796,ssp2_projected
SVK,Slovakia,2018,2.14,1.144222799920162,0.681115508079529,0.31888449192047097,ssp2_projected
SVK,Slovakia,2019,3.11,1.4134230285081433,0.680842339992523,0.31915766000747703,ssp2_projected
SVK,Slovakia,2020,4.69,1.7387102481382397,0.680704236030579,0.31929576396942105,ssp2_projected
SWE,Sweden,2010,1538.0,7.338888133838879,0.943167984485626,0.056832015514374,historical
