scenario,bii,year,iso3,bii_loss
ssp5rcp8p5remindmagpie,0.868612289428711,2016,NCL,0.13138771057128895
ssp4rcp6p0gcam,0.433136284351349,2046,IRL,0.566863715648651
ssp5rcp8p5remindmagpie,0.95716518163681,2016,SLB,0.04283481836319003
ssp4rcp6p0gcam,0.838062465190887,2046,LVA,0.161937534809113
ssp4rcp6p0gcam,0.956469178199768,2046,SWE,0.043530821800232045
ssp4rcp6p0gcam,0.635357201099396,2046,NLD,0.364642798900604
ssp5rcp8p5remindmagpie,0.950583159923553,2016,FLK,0.04941684007644698
ssp5rcp8p5remindmagpie,0.993211269378662,2016,GUF,0.006788730621338002
ssp5rcp8p5remindmagpie,0.992541015148163,2016,SUR,0.007458984851837047
ssp5rcp8p5remindmagpie,0.651097774505615,2016,CRI,0.348902225494385
ssp5rcp8p5remindmagpie,0.952149450778961,2016,MTQ,0.04785054922103904
ssp5rcp8p5remindmagpie,0.526292324066162,2016,PRI,0.473707675933838
ssp5rcp8p5remindmagpie,0.913958370685577,2016,TTO,0.08604162931442305
